lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
1.380e+03,0.000e+00,0.000e+00,3.610e-27,2.580e-01,4.000e-01
1.350e+03,0.000e+00,0.000e+00,3.750e-27,2.680e-01,4.000e-01
1.320e+03,0.000e+00,0.000e+00,3.900e-27,2.790e-01,4.000e-01
1.290e+03,0.000e+00,0.000e+00,4.050e-27,2.900e-01,4.000e-01
1.260e+03,0.000e+00,0.000e+00,4.210e-27,3.010e-01,4.000e-01
1.230e+03,0.000e+00,0.000e+00,4.370e-27,3.130e-01,4.000e-01
1.200e+03,0.000e+00,0.000e+00,4.540e-27,3.250e-01,4.000e-01
1.170e+03,0.000e+00,0.000e+00,4.720e-27,3.380e-01,4.000e-01
1.150e+03,0.000e+00,0.000e+00,4.900e-27,3.510e-01,4.000e-01
1.120e+03,0.000e+00,0.000e+00,5.100e-27,3.640e-01,4.000e-01
1.100e+03,0.000e+00,0.000e+00,5.300e-27,3.790e-01,4.000e-01
1.070e+03,0.000e+00,0.000e+00,5.500e-27,3.940e-01,4.000e-01
1.050e+03,0.000e+00,0.000e+00,5.720e-27,4.090e-01,4.000e-01
1.020e+03,0.000e+00,0.000e+00,5.940e-27,4.250e-01,4.000e-01
1.000e+03,0.000e+00,0.000e+00,6.170e-27,4.420e-01,4.000e-01
9.770e+02,0.000e+00,0.000e+00,6.420e-27,4.590e-01,4.000e-01
9.550e+02,0.000e+00,0.000e+00,6.670e-27,4.770e-01,4.000e-01
9.330e+02,0.000e+00,0.000e+00,6.930e-27,4.960e-01,4.000e-01
9.120e+02,0.000e+00,0.000e+00,7.200e-27,5.150e-01,4.000e-01
8.910e+02,0.000e+00,0.000e+00,7.490e-27,5.350e-01,4.000e-01
8.710e+02,0.000e+00,0.000e+00,7.780e-27,5.560e-01,4.000e-01
8.510e+02,0.000e+00,0.000e+00,8.090e-27,5.780e-01,4.000e-01
8.320e+02,0.000e+00,0.000e+00,8.400e-27,6.010e-01,4.000e-01
8.130e+02,0.000e+00,0.000e+00,8.730e-27,6.250e-01,4.000e-01
7.940e+02,0.000e+00,0.000e+00,9.070e-27,6.490e-01,4.000e-01
7.760e+02,0.000e+00,0.000e+00,9.430e-27,6.740e-01,4.000e-01
7.590e+02,0.000e+00,0.000e+00,9.800e-27,7.010e-01,4.000e-01
7.410e+02,0.000e+00,0.000e+00,1.020e-26,7.290e-01,4.000e-01
7.240e+02,0.000e+00,0.000e+00,1.060e-26,7.570e-01,4.000e-01
7.080e+02,0.000e+00,0.000e+00,1.100e-26,7.870e-01,4.000e-01
6.920e+02,0.000e+00,0.000e+00,1.150e-26,8.190e-01,4.000e-01
6.760e+02,0.000e+00,0.000e+00,1.190e-26,8.520e-01,4.000e-01
6.610e+02,0.000e+00,0.000e+00,1.240e-26,8.870e-01,4.000e-01
6.460e+02,0.000e+00,0.000e+00,1.290e-26,9.230e-01,4.000e-01
6.310e+02,0.000e+00,0.000e+00,1.340e-26,9.610e-01,4.000e-01
6.170e+02,0.000e+00,0.000e+00,1.400e-26,1.000e+00,4.000e-01
6.030e+02,0.000e+00,0.000e+00,1.460e-26,1.040e+00,4.000e-01
5.890e+02,0.000e+00,0.000e+00,1.520e-26,1.090e+00,4.000e-01
5.750e+02,0.000e+00,0.000e+00,1.580e-26,1.130e+00,4.000e-01
5.620e+02,0.000e+00,0.000e+00,1.650e-26,1.180e+00,4.000e-01
5.500e+02,0.000e+00,0.000e+00,1.720e-26,1.230e+00,4.000e-01
5.370e+02,0.000e+00,0.000e+00,1.790e-26,1.280e+00,4.000e-01
5.250e+02,0.000e+00,0.000e+00,1.870e-26,1.340e+00,4.000e-01
5.130e+02,0.000e+00,0.000e+00,1.950e-26,1.400e+00,4.000e-01
5.010e+02,0.000e+00,0.000e+00,2.040e-26,1.460e+00,4.000e-01
4.900e+02,0.000e+00,0.000e+00,2.130e-26,1.520e+00,4.000e-01
4.790e+02,0.000e+00,0.000e+00,2.220e-26,1.590e+00,4.000e-01
4.680e+02,0.000e+00,0.000e+00,2.320e-26,1.660e+00,4.000e-01
4.570e+02,0.000e+00,0.000e+00,2.430e-26,1.740e+00,4.000e-01
4.470e+02,0.000e+00,0.000e+00,2.540e-26,1.820e+00,4.000e-01
4.370e+02,0.000e+00,0.000e+00,2.650e-26,1.900e+00,4.000e-01
4.270e+02,0.000e+00,0.000e+00,2.780e-26,1.990e+00,4.000e-01
4.170e+02,0.000e+00,0.000e+00,2.910e-26,2.080e+00,4.000e-01
4.070e+02,0.000e+00,0.000e+00,3.040e-26,2.180e+00,4.000e-01
3.980e+02,0.000e+00,0.000e+00,3.180e-26,2.280e+00,4.000e-01
3.890e+02,0.000e+00,-1.000e-04,3.330e-26,2.390e+00,4.000e-01
3.800e+02,0.000e+00,-1.000e-04,3.490e-26,2.500e+00,4.000e-01
3.720e+02,0.000e+00,-1.000e-04,3.660e-26,2.620e+00,4.000e-01
3.630e+02,0.000e+00,-1.000e-04,3.840e-26,2.750e+00,4.000e-01
3.550e+02,0.000e+00,-1.000e-04,4.030e-26,2.880e+00,4.000e-01
3.470e+02,0.000e+00,-1.000e-04,4.220e-26,3.020e+00,4.000e-01
3.390e+02,0.000e+00,-1.000e-04,4.430e-26,3.170e+00,4.000e-01
3.310e+02,0.000e+00,-1.000e-04,4.650e-26,3.330e+00,4.000e-01
3.240e+02,0.000e+00,-1.000e-04,4.880e-26,3.490e+00,4.000e-01
3.160e+02,0.000e+00,-1.000e-04,5.130e-26,3.670e+00,4.000e-01
3.090e+02,0.000e+00,-1.000e-04,5.390e-26,3.860e+00,4.000e-01
3.020e+02,0.000e+00,-1.000e-04,5.670e-26,4.050e+00,4.000e-01
2.950e+02,0.000e+00,-1.000e-04,5.960e-26,4.260e+00,4.000e-01
2.880e+02,0.000e+00,-2.000e-04,6.260e-26,4.480e+00,4.000e-01
2.820e+02,0.000e+00,-2.000e-04,6.590e-26,4.710e+00,4.000e-01
2.750e+02,0.000e+00,-2.000e-04,6.940e-26,4.960e+00,4.000e-01
2.690e+02,0.000e+00,-2.000e-04,7.300e-26,5.220e+00,4.000e-01
2.630e+02,0.000e+00,-2.000e-04,7.690e-26,5.500e+00,4.000e-01
2.570e+02,0.000e+00,-2.000e-04,8.100e-26,5.790e+00,4.000e-01
2.510e+02,0.000e+00,-3.000e-04,8.530e-26,6.100e+00,4.000e-01
2.450e+02,0.000e+00,-3.000e-04,8.970e-26,6.410e+00,4.000e-01
