time_yr,log_snr,log_snr_2,log_snr_3
326510020.0,-30.0,-30.0,-30.0
326610020.0,-30.0,-30.0,-30.0
326710020.0,-30.0,-30.0,-30.0
326810020.0,-30.0,-30.0,-30.0
326910020.0,-30.0,-30.0,-30.0
327010020.0,-30.0,-30.0,-30.0
327110020.0,-30.0,-30.0,-30.0
327210020.0,-30.0,-30.0,-30.0
327310020.0,-30.0,-30.0,-30.0
327410020.0,-30.0,-30.0,-30.0
327510020.0,-30.0,-30.0,-30.0
327610020.0,-30.0,-30.0,-30.0
327710020.0,-30.0,-30.0,-30.0
327810020.0,-30.0,-30.0,-30.0
327910020.0,-30.0,-30.0,-30.0
328010020.0,-30.0,-30.0,-30.0
328110020.0,-30.0,-30.0,-30.0
328210020.0,-30.0,-30.0,-30.0
328310020.0,-30.0,-30.0,-30.0
328410020.0,-30.0,-30.0,-30.0
328510020.0,-30.0,-30.0,-30.0
328610020.0,-30.0,-30.0,-30.0
328710020.0,-30.0,-30.0,-30.0
328810020.0,-30.0,-30.0,-30.0
328910020.0,-30.0,-30.0,-30.0
329010020.0,-30.0,-30.0,-30.0
329110020.0,-30.0,-30.0,-30.0
329210020.0,-30.0,-30.0,-30.0
329310020.0,-30.0,-30.0,-30.0
329410020.0,-30.0,-30.0,-30.0
329510020.0,-30.0,-30.0,-30.0
329610020.0,-30.0,-30.0,-30.0
329710020.0,-30.0,-30.0,-30.0
329810020.0,-30.0,-30.0,-30.0
329910020.0,-30.0,-30.0,-30.0
330010020.0,-30.0,-30.0,-30.0
330110020.0,-30.0,-30.0,-30.0
330210020.0,-30.0,-30.0,-30.0
330310020.0,-30.0,-30.0,-30.0
330410020.0,-30.0,-30.0,-30.0
330510020.0,-30.0,-30.0,-30.0
330610020.0,-30.0,-30.0,-30.0
330710020.0,-30.0,-30.0,-30.0
330810020.0,-30.0,-30.0,-30.0
330910020.0,-30.0,-30.0,-30.0
331010020.0,-30.0,-30.0,-30.0
331110020.0,-30.0,-30.0,-30.0
331210020.0,-30.0,-30.0,-30.0
331310020.0,-30.0,-30.0,-30.0
331410020.0,-30.0,-30.0,-30.0
331510020.0,-30.0,-30.0,-30.0
331610020.0,-30.0,-30.0,-30.0
331710020.0,-30.0,-30.0,-30.0
331810020.0,-30.0,-30.0,-30.0
331910020.0,-30.0,-30.0,-30.0
332010020.0,-30.0,-30.0,-30.0
332110020.0,-30.0,-30.0,-30.0
332210020.0,-30.0,-30.0,-30.0
332310020.0,-30.0,-30.0,-30.0
332410020.0,-30.0,-30.0,-30.0
332510020.0,-30.0,-30.0,-30.0
332610020.0,-30.0,-30.0,-30.0
332710020.0,-30.0,-30.0,-30.0
332810020.0,-30.0,-30.0,-30.0
332910020.0,-30.0,-30.0,-30.0
333010020.0,-30.0,-30.0,-30.0
333110020.0,-30.0,-30.0,-30.0
333210020.0,-30.0,-30.0,-30.0
333310020.0,-30.0,-30.0,-30.0
333410020.0,-30.0,-30.0,-30.0
333510020.0,-30.0,-30.0,-30.0
333610020.0,-30.0,-30.0,-30.0
333710020.0,-30.0,-30.0,-30.0
333810020.0,-30.0,-30.0,-30.0
333910020.0,-30.0,-30.0,-30.0
334010020.0,-30.0,-30.0,-30.0
334110020.0,-30.0,-30.0,-30.0
334210020.0,-30.0,-30.0,-30.0
334310020.0,-30.0,-30.0,-30.0
334410020.0,-30.0,-30.0,-30.0
334510020.0,-30.0,-30.0,-30.0
334610020.0,-30.0,-30.0,-30.0
334710020.0,-30.0,-30.0,-30.0
334810020.0,-30.0,-30.0,-30.0
334910020.0,-30.0,-30.0,-30.0
335010020.0,-30.0,-30.0,-30.0
335110020.0,-30.0,-30.0,-30.0
335210020.0,-30.0,-30.0,-30.0
335310020.0,-30.0,-30.0,-30.0
335410020.0,-30.0,-30.0,-30.0
335510020.0,-30.0,-30.0,-30.0
335610020.0,-30.0,-30.0,-30.0
335710020.0,-30.0,-30.0,-30.0
335810020.0,-30.0,-30.0,-30.0
335910020.0,-30.0,-30.0,-30.0
336010020.0,-30.0,-30.0,-30.0
336110020.0,-30.0,-30.0,-30.0
336210020.0,-30.0,-30.0,-30.0
336310020.0,-30.0,-30.0,-30.0
336410020.0,-30.0,-30.0,-30.0
336510020.0,-30.0,-30.0,-30.0
336610020.0,-30.0,-30.0,-30.0
336710020.0,-30.0,-30.0,-30.0
336810020.0,-30.0,-30.0,-30.0
336910020.0,-30.0,-30.0,-30.0
337010020.0,-30.0,-30.0,-30.0
337110020.0,-30.0,-30.0,-30.0
337210020.0,-30.0,-30.0,-30.0
337310020.0,-30.0,-30.0,-30.0
337410020.0,-30.0,-30.0,-30.0
337510020.0,-30.0,-30.0,-30.0
337610020.0,-30.0,-30.0,-30.0
337710020.0,-30.0,-30.0,-30.0
337810020.0,-30.0,-30.0,-30.0
337910020.0,-30.0,-30.0,-30.0
338010020.0,-30.0,-30.0,-30.0
338110020.0,-30.0,-30.0,-30.0
338210020.0,-30.0,-30.0,-30.0
338310020.0,-30.0,-30.0,-30.0
338410020.0,-30.0,-30.0,-30.0
338510020.0,-30.0,-30.0,-30.0
338610020.0,-30.0,-30.0,-30.0
338710020.0,-30.0,-30.0,-30.0
338810020.0,-30.0,-30.0,-30.0
338910020.0,-30.0,-30.0,-30.0
339010020.0,-30.0,-30.0,-30.0
339110020.0,-30.0,-30.0,-30.0
339210020.0,-30.0,-30.0,-30.0
339310020.0,-30.0,-30.0,-30.0
339410020.0,-30.0,-30.0,-30.0
339510020.0,-30.0,-30.0,-30.0
339610020.0,-30.0,-30.0,-30.0
339710020.0,-30.0,-30.0,-30.0
339810020.0,-30.0,-30.0,-30.0
339910020.0,-30.0,-30.0,-30.0
340010020.0,-30.0,-30.0,-30.0
340110020.0,-30.0,-30.0,-30.0
340210020.0,-30.0,-30.0,-30.0
340310020.0,-30.0,-30.0,-30.0
340410020.0,-30.0,-30.0,-30.0
340510020.0,-30.0,-30.0,-30.0
340610020.0,-30.0,-30.0,-30.0
340710020.0,-30.0,-30.0,-30.0
340810020.0,-30.0,-30.0,-30.0
340910020.0,-30.0,-30.0,-30.0
341010020.0,-30.0,-30.0,-30.0
341110020.0,-30.0,-30.0,-30.0
341210020.0,-30.0,-30.0,-30.0
341310020.0,-30.0,-30.0,-30.0
341410020.0,-30.0,-30.0,-30.0
341510020.0,-30.0,-30.0,-30.0
341610020.0,-30.0,-30.0,-30.0
341710020.0,-30.0,-30.0,-30.0
341810020.0,-30.0,-30.0,-30.0
341910020.0,-30.0,-30.0,-30.0
342010020.0,-30.0,-30.0,-30.0
342110020.0,-30.0,-30.0,-30.0
342210020.0,-30.0,-30.0,-30.0
342310020.0,-30.0,-30.0,-30.0
342410020.0,-30.0,-30.0,-30.0
342510020.0,-30.0,-30.0,-30.0
342610020.0,-30.0,-30.0,-30.0
342710020.0,-30.0,-30.0,-30.0
342810020.0,-30.0,-30.0,-30.0
342910020.0,-30.0,-30.0,-30.0
343010020.0,-30.0,-30.0,-30.0
343110020.0,-30.0,-30.0,-30.0
343210020.0,-30.0,-30.0,-30.0
343310020.0,-30.0,-30.0,-30.0
343410020.0,-30.0,-30.0,-30.0
343510020.0,-30.0,-30.0,-30.0
343610020.0,-30.0,-30.0,-30.0
343710020.0,-30.0,-30.0,-30.0
343810020.0,-30.0,-30.0,-30.0
343910020.0,-30.0,-30.0,-30.0
344010020.0,-30.0,-30.0,-30.0
344110020.0,-30.0,-30.0,-30.0
344210020.0,-30.0,-30.0,-30.0
344310020.0,-30.0,-30.0,-30.0
344410020.0,-30.0,-30.0,-30.0
344510020.0,-30.0,-30.0,-30.0
344610020.0,-30.0,-30.0,-30.0
344710020.0,-30.0,-30.0,-30.0
344810020.0,-30.0,-30.0,-30.0
344910020.0,-30.0,-30.0,-30.0
345010020.0,-30.0,-30.0,-30.0
345110020.0,-30.0,-30.0,-30.0
345210020.0,-30.0,-30.0,-30.0
345310020.0,-30.0,-30.0,-30.0
345410020.0,-30.0,-30.0,-30.0
345510020.0,-30.0,-30.0,-30.0
345610020.0,-30.0,-30.0,-30.0
345710020.0,-30.0,-30.0,-30.0
345810020.0,-30.0,-30.0,-30.0
345910020.0,-30.0,-30.0,-30.0
346010020.0,-30.0,-30.0,-30.0
346110020.0,-30.0,-30.0,-30.0
346210020.0,-30.0,-30.0,-30.0
346310020.0,-30.0,-30.0,-30.0
346410020.0,-30.0,-30.0,-30.0
346510020.0,-30.0,-30.0,-30.0
346610020.0,-30.0,-30.0,-30.0
346710020.0,-30.0,-30.0,-30.0
346810020.0,-30.0,-30.0,-30.0
346910020.0,-30.0,-30.0,-30.0
347010020.0,-30.0,-30.0,-30.0
347110020.0,-30.0,-30.0,-30.0
347210020.0,-30.0,-30.0,-30.0
347310020.0,-30.0,-30.0,-30.0
347410020.0,-30.0,-30.0,-30.0
347510020.0,-30.0,-30.0,-30.0
347610020.0,-30.0,-30.0,-30.0
347710020.0,-30.0,-30.0,-30.0
347810020.0,-30.0,-30.0,-30.0
347910020.0,-30.0,-30.0,-30.0
348010020.0,-30.0,-30.0,-30.0
348110020.0,-30.0,-30.0,-30.0
348210020.0,-30.0,-30.0,-30.0
348310020.0,-30.0,-30.0,-30.0
348410020.0,-30.0,-30.0,-30.0
348510020.0,-30.0,-30.0,-30.0
348610020.0,-30.0,-30.0,-30.0
348710020.0,-30.0,-30.0,-30.0
348810020.0,-30.0,-30.0,-30.0
348910020.0,-30.0,-30.0,-30.0
349010020.0,-30.0,-30.0,-30.0
349110020.0,-30.0,-30.0,-30.0
349210020.0,-30.0,-30.0,-30.0
349310020.0,-30.0,-30.0,-30.0
349410020.0,-30.0,-30.0,-30.0
349510020.0,-30.0,-30.0,-30.0
349610020.0,-30.0,-30.0,-30.0
349710020.0,-30.0,-30.0,-30.0
349810020.0,-30.0,-30.0,-30.0
349910020.0,-30.0,-30.0,-30.0
350010020.0,-30.0,-30.0,-30.0
350110020.0,-30.0,-30.0,-30.0
350210020.0,-30.0,-30.0,-30.0
350310020.0,-30.0,-30.0,-30.0
350410020.0,-30.0,-30.0,-30.0
350510020.0,-30.0,-30.0,-30.0
350610020.0,-30.0,-30.0,-30.0
350710020.0,-30.0,-30.0,-30.0
350810020.0,-30.0,-30.0,-30.0
350910020.0,-30.0,-30.0,-30.0
351010020.0,-30.0,-30.0,-30.0
351110020.0,-30.0,-30.0,-30.0
351210020.0,-30.0,-30.0,-30.0
351310020.0,-30.0,-30.0,-30.0
351410020.0,-30.0,-30.0,-30.0
351510020.0,-30.0,-30.0,-30.0
351610020.0,-30.0,-30.0,-30.0
351710020.0,-30.0,-30.0,-30.0
351810020.0,-30.0,-30.0,-30.0
351910020.0,-30.0,-30.0,-30.0
352010020.0,-30.0,-30.0,-30.0
352110020.0,-30.0,-30.0,-30.0
352210020.0,-30.0,-30.0,-30.0
352310020.0,-30.0,-30.0,-30.0
