# wavelength_obs(um)  flux_med(uJy)  flux_low(uJy)  flux_high(uJy)
9.674371e+02 5.238827e+01 4.523857e+01 5.455873e+01
9.736175e+02 5.134149e+01 4.431291e+01 5.351241e+01
9.797980e+02 5.031964e+01 4.340997e+01 5.248964e+01
9.859784e+02 4.932202e+01 4.252913e+01 5.148983e+01
9.921588e+02 4.834799e+01 4.166975e+01 5.051240e+01
9.983392e+02 4.739691e+01 4.083125e+01 4.955680e+01
1.004520e+03 4.646816e+01 4.001302e+01 4.862248e+01
1.010700e+03 4.556115e+01 3.921451e+01 4.770892e+01
1.016880e+03 4.467529e+01 3.843517e+01 4.681558e+01
1.023061e+03 4.381003e+01 3.767446e+01 4.594198e+01
1.029241e+03 4.296480e+01 3.693188e+01 4.508763e+01
1.035422e+03 4.213908e+01 3.620693e+01 4.425204e+01
1.041602e+03 4.133236e+01 3.549911e+01 4.343476e+01
1.047783e+03 4.054413e+01 3.480797e+01 4.263533e+01
1.053963e+03 3.977391e+01 3.413304e+01 4.185331e+01
1.060143e+03 3.902122e+01 3.347389e+01 4.108829e+01
1.066324e+03 3.828561e+01 3.283010e+01 4.033983e+01
1.072504e+03 3.756663e+01 3.220124e+01 3.960753e+01
1.078685e+03 3.686385e+01 3.158691e+01 3.889101e+01
1.084865e+03 3.617685e+01 3.098674e+01 3.818987e+01
1.091045e+03 3.550522e+01 3.040033e+01 3.750374e+01
1.097226e+03 3.484857e+01 2.982732e+01 3.683225e+01
1.103406e+03 3.420651e+01 2.926736e+01 3.617506e+01
1.109587e+03 3.357866e+01 2.872010e+01 3.553182e+01
1.115767e+03 3.296467e+01 2.818522e+01 3.490219e+01
1.121948e+03 3.236419e+01 2.766237e+01 3.428584e+01
1.128128e+03 3.177686e+01 2.715125e+01 3.368246e+01
1.134308e+03 3.120236e+01 2.665156e+01 3.309173e+01
1.140489e+03 3.064036e+01 2.616299e+01 3.251335e+01
1.146669e+03 3.009056e+01 2.568526e+01 3.194703e+01
1.152850e+03 2.955263e+01 2.521809e+01 3.139248e+01
1.159030e+03 2.902630e+01 2.476121e+01 3.084943e+01
1.165210e+03 2.851126e+01 2.431435e+01 3.031759e+01
1.171391e+03 2.800724e+01 2.387726e+01 2.979671e+01
1.177571e+03 2.751396e+01 2.344969e+01 2.928652e+01
1.183752e+03 2.703117e+01 2.303139e+01 2.878678e+01
1.189932e+03 2.655860e+01 2.262214e+01 2.829724e+01
1.196113e+03 2.609599e+01 2.222171e+01 2.781767e+01
1.202293e+03 2.564312e+01 2.182987e+01 2.734782e+01
1.208473e+03 2.519974e+01 2.144641e+01 2.688748e+01
1.214654e+03 2.476561e+01 2.107112e+01 2.643642e+01
1.220834e+03 2.434052e+01 2.070380e+01 2.599444e+01
1.227015e+03 2.392425e+01 2.034425e+01 2.556131e+01
1.233195e+03 2.351659e+01 1.999228e+01 2.513683e+01
1.239375e+03 2.311732e+01 1.964770e+01 2.472082e+01
1.245556e+03 2.272625e+01 1.931033e+01 2.431306e+01
1.251736e+03 2.234319e+01 1.898000e+01 2.391338e+01
1.257917e+03 2.196793e+01 1.865653e+01 2.352160e+01
1.264097e+03 2.160030e+01 1.833976e+01 2.313752e+01
1.270278e+03 2.124012e+01 1.802952e+01 2.276098e+01
1.276458e+03 2.088722e+01 1.772566e+01 2.239181e+01
1.282638e+03 2.054141e+01 1.742803e+01 2.202983e+01
1.288819e+03 2.020254e+01 1.713647e+01 2.167490e+01
1.294999e+03 1.987043e+01 1.685084e+01 2.132684e+01
1.301180e+03 1.954495e+01 1.657101e+01 2.098552e+01
1.307360e+03 1.922593e+01 1.629682e+01 2.065076e+01
1.313540e+03 1.891322e+01 1.602816e+01 2.032244e+01
1.319721e+03 1.860667e+01 1.576488e+01 2.000041e+01
1.325901e+03 1.830616e+01 1.550687e+01 1.968453e+01
1.332082e+03 1.801153e+01 1.525400e+01 1.937466e+01
1.338262e+03 1.772265e+01 1.500614e+01 1.907067e+01
1.344443e+03 1.743939e+01 1.476319e+01 1.877243e+01
1.350623e+03 1.716163e+01 1.452503e+01 1.847982e+01
1.356803e+03 1.688924e+01 1.429155e+01 1.819271e+01
1.362984e+03 1.662210e+01 1.406264e+01 1.791098e+01
1.369164e+03 1.636009e+01 1.383820e+01 1.763452e+01
1.375345e+03 1.610310e+01 1.361812e+01 1.736321e+01
1.381525e+03 1.585101e+01 1.340231e+01 1.709695e+01
1.387705e+03 1.560372e+01 1.319067e+01 1.683562e+01
1.393886e+03 1.536111e+01 1.298310e+01 1.657911e+01
1.400066e+03 1.512309e+01 1.277951e+01 1.632733e+01
1.406247e+03 1.488955e+01 1.257981e+01 1.608017e+01
1.412427e+03 1.466040e+01 1.238392e+01 1.583753e+01
1.418608e+03 1.443554e+01 1.219175e+01 1.559932e+01
1.424788e+03 1.421487e+01 1.200322e+01 1.536545e+01
1.430968e+03 1.399830e+01 1.181825e+01 1.513582e+01
1.437149e+03 1.378575e+01 1.163675e+01 1.491034e+01
1.443329e+03 1.357713e+01 1.145865e+01 1.468893e+01
1.449510e+03 1.337235e+01 1.128389e+01 1.447150e+01
1.455690e+03 1.317132e+01 1.111237e+01 1.425796e+01
1.461870e+03 1.297398e+01 1.094404e+01 1.404825e+01
1.468051e+03 1.278024e+01 1.077882e+01 1.384227e+01
1.474231e+03 1.259002e+01 1.061665e+01 1.363995e+01
1.480412e+03 1.240325e+01 1.045745e+01 1.344121e+01
1.486592e+03 1.221985e+01 1.030117e+01 1.324599e+01
1.492773e+03 1.203976e+01 1.014775e+01 1.305420e+01
1.498953e+03 1.186290e+01 9.997116e+00 1.286578e+01
1.505133e+03 1.168921e+01 9.849214e+00 1.268066e+01
1.511314e+03 1.151862e+01 9.703987e+00 1.249877e+01
1.517494e+03 1.135106e+01 9.561377e+00 1.232005e+01
1.523675e+03 1.118648e+01 9.421328e+00 1.214443e+01
1.529855e+03 1.102480e+01 9.283787e+00 1.197185e+01
1.536035e+03 1.086598e+01 9.148701e+00 1.180224e+01
1.542216e+03 1.070994e+01 9.016018e+00 1.163556e+01
1.548396e+03 1.055664e+01 8.885688e+00 1.147173e+01
1.554577e+03 1.040602e+01 8.757663e+00 1.131070e+01
1.560757e+03 1.025802e+01 8.631893e+00 1.115242e+01
1.566938e+03 1.011258e+01 8.508333e+00 1.099684e+01
1.573118e+03 9.969668e+00 8.386937e+00 1.084389e+01
1.579298e+03 9.829218e+00 8.267660e+00 1.069352e+01
1.585479e+03 9.691183e+00 8.150458e+00 1.054569e+01
1.591659e+03 9.555515e+00 8.035290e+00 1.040035e+01
1.597840e+03 9.422166e+00 7.922114e+00 1.025744e+01
1.604020e+03 9.291090e+00 7.810889e+00 1.011692e+01
1.610200e+03 9.162241e+00 7.701575e+00 9.978748e+00
1.616381e+03 9.035575e+00 7.594135e+00 9.842868e+00
1.622561e+03 8.911048e+00 7.488529e+00 9.709239e+00
1.628742e+03 8.788619e+00 7.384722e+00 9.577818e+00
1.634922e+03 8.668245e+00 7.282677e+00 9.448564e+00
1.641103e+03 8.549886e+00 7.182360e+00 9.321432e+00
1.647283e+03 8.433502e+00 7.083735e+00 9.196384e+00
1.653463e+03 8.319056e+00 6.986768e+00 9.073379e+00
1.659644e+03 8.206508e+00 6.891429e+00 8.952378e+00
1.665824e+03 8.095822e+00 6.797683e+00 8.833343e+00
1.672005e+03 7.986961e+00 6.705499e+00 8.716236e+00
1.678185e+03 7.879891e+00 6.614848e+00 8.601022e+00
1.684365e+03 7.774576e+00 6.525699e+00 8.487663e+00
1.690546e+03 7.670984e+00 6.438022e+00 8.376126e+00
1.696726e+03 7.569080e+00 6.351790e+00 8.266375e+00
1.702907e+03 7.468832e+00 6.266973e+00 8.158378e+00
1.709087e+03 7.370209e+00 6.183545e+00 8.052102e+00
1.715268e+03 7.273180e+00 6.101479e+00 7.947514e+00
1.721448e+03 7.177714e+00 6.020749e+00 7.844583e+00
1.727628e+03 7.083782e+00 5.941328e+00 7.743278e+00
1.733809e+03 6.991355e+00 5.863192e+00 7.643570e+00
1.739989e+03 6.900405e+00 5.786317e+00 7.545429e+00
1.746170e+03 6.810903e+00 5.710679e+00 7.448825e+00
1.752350e+03 6.722823e+00 5.636253e+00 7.353731e+00
1.758530e+03 6.636138e+00 5.563017e+00 7.260119e+00
1.764711e+03 6.550822e+00 5.490949e+00 7.167962e+00
1.770891e+03 6.466849e+00 5.420027e+00 7.077233e+00
1.777072e+03 6.384195e+00 5.350229e+00 6.987907e+00
1.783252e+03 6.302836e+00 5.281534e+00 6.899958e+00
1.789433e+03 6.222746e+00 5.213921e+00 6.813361e+00
1.795613e+03 6.143904e+00 5.147372e+00 6.728091e+00
1.801793e+03 6.066286e+00 5.081865e+00 6.644126e+00
1.807974e+03 5.989870e+00 5.017381e+00 6.561441e+00
1.814154e+03 5.914634e+00 4.953902e+00 6.480013e+00
1.820335e+03 5.840557e+00 4.891410e+00 6.399821e+00
1.826515e+03 5.767616e+00 4.829885e+00 6.320841e+00
1.832695e+03 5.695793e+00 4.769311e+00 6.243053e+00
1.838876e+03 5.625066e+00 4.709670e+00 6.166436e+00
1.845056e+03 5.555417e+00 4.650945e+00 6.090968e+00
1.851237e+03 5.486825e+00 4.593119e+00 6.016630e+00
1.857417e+03 5.419271e+00 4.536177e+00 5.943402e+00
1.863598e+03 5.352738e+00 4.480102e+00 5.871264e+00
1.869778e+03 5.287207e+00 4.424878e+00 5.800196e+00
1.875958e+03 5.222661e+00 4.370492e+00 5.730182e+00
1.882139e+03 5.159081e+00 4.316926e+00 5.661201e+00
1.888319e+03 5.096451e+00 4.264168e+00 5.593237e+00
1.894500e+03 5.034753e+00 4.212201e+00 5.526271e+00
1.900680e+03 4.973973e+00 4.161014e+00 5.460286e+00
1.906861e+03 4.914093e+00 4.110591e+00 5.395266e+00
1.913041e+03 4.855098e+00 4.060919e+00 5.331194e+00
1.919221e+03 4.796972e+00 4.011985e+00 5.268053e+00
1.925402e+03 4.739701e+00 3.963776e+00 5.205828e+00
1.931582e+03 4.683269e+00 3.916279e+00 5.144503e+00
1.937763e+03 4.627662e+00 3.869482e+00 5.084063e+00
1.943943e+03 4.572866e+00 3.823373e+00 5.024493e+00
1.950123e+03 4.518867e+00 3.777939e+00 4.965777e+00
1.956304e+03 4.465651e+00 3.733170e+00 4.907902e+00
1.962484e+03 4.413204e+00 3.689053e+00 4.850854e+00
1.968665e+03 4.361515e+00 3.645577e+00 4.794618e+00
1.974845e+03 4.310569e+00 3.602731e+00 4.739181e+00
1.981026e+03 4.260354e+00 3.560506e+00 4.684529e+00
1.987206e+03 4.210857e+00 3.518889e+00 4.630650e+00
1.993386e+03 4.162067e+00 3.477870e+00 4.577531e+00
1.999567e+03 4.113972e+00 3.437440e+00 4.525158e+00
2.005747e+03 4.066560e+00 3.397588e+00 4.473520e+00
2.011928e+03 4.019820e+00 3.358305e+00 4.422605e+00
2.018108e+03 3.973739e+00 3.319581e+00 4.372400e+00
2.024288e+03 3.928308e+00 3.281406e+00 4.322894e+00
2.030469e+03 3.883516e+00 3.243772e+00 4.274075e+00
2.036649e+03 3.839351e+00 3.206669e+00 4.225933e+00
2.042830e+03 3.795804e+00 3.170088e+00 4.178456e+00
2.049010e+03 3.752864e+00 3.134021e+00 4.131633e+00
2.055191e+03 3.710521e+00 3.098459e+00 4.085454e+00
2.061371e+03 3.668766e+00 3.063395e+00 4.039908e+00
2.067551e+03 3.627589e+00 3.028818e+00 3.994985e+00
2.073732e+03 3.586980e+00 2.994723e+00 3.950675e+00
2.079912e+03 3.546930e+00 2.961100e+00 3.906969e+00
2.086093e+03 3.507430e+00 2.927942e+00 3.863855e+00
2.092273e+03 3.468471e+00 2.895241e+00 3.821326e+00
2.098453e+03 3.430045e+00 2.862990e+00 3.779371e+00
2.104634e+03 3.392142e+00 2.831181e+00 3.737982e+00
2.110814e+03 3.354755e+00 2.799808e+00 3.697150e+00
2.116995e+03 3.317874e+00 2.768864e+00 3.656865e+00
2.123175e+03 3.281493e+00 2.738340e+00 3.617119e+00
2.129356e+03 3.245602e+00 2.708231e+00 3.577903e+00
2.135536e+03 3.210195e+00 2.678530e+00 3.539210e+00
2.141716e+03 3.175263e+00 2.649230e+00 3.501030e+00
2.147897e+03 3.140799e+00 2.620326e+00 3.463357e+00
2.154077e+03 3.106795e+00 2.591809e+00 3.426181e+00
2.160258e+03 3.073244e+00 2.563676e+00 3.389496e+00
2.166438e+03 3.040140e+00 2.535918e+00 3.353293e+00
2.172618e+03 3.007474e+00 2.508531e+00 3.317565e+00
2.178799e+03 2.975241e+00 2.481509e+00 3.282306e+00
2.184979e+03 2.943432e+00 2.454845e+00 3.247506e+00
2.191160e+03 2.912043e+00 2.428535e+00 3.213160e+00
2.197340e+03 2.881066e+00 2.402572e+00 3.179261e+00
2.203521e+03 2.850494e+00 2.376952e+00 3.145801e+00
2.209701e+03 2.820323e+00 2.351668e+00 3.112774e+00
2.215881e+03 2.790544e+00 2.326716e+00 3.080173e+00
2.222062e+03 2.761153e+00 2.302090e+00 3.047992e+00
2.228242e+03 2.732143e+00 2.277786e+00 3.016224e+00
2.234423e+03 2.703508e+00 2.253798e+00 2.984863e+00
2.240603e+03 2.675243e+00 2.230121e+00 2.953904e+00
2.246783e+03 2.647342e+00 2.206752e+00 2.923339e+00
2.252964e+03 2.619800e+00 2.183684e+00 2.893163e+00
2.259144e+03 2.592611e+00 2.160914e+00 2.863370e+00
2.265325e+03 2.565769e+00 2.138437e+00 2.833955e+00
2.271505e+03 2.539270e+00 2.116248e+00 2.804911e+00
2.277686e+03 2.513108e+00 2.094343e+00 2.776233e+00
2.283866e+03 2.487279e+00 2.072717e+00 2.747916e+00
2.290046e+03 2.461776e+00 2.051368e+00 2.719955e+00
2.296227e+03 2.436596e+00 2.030289e+00 2.692343e+00
2.302407e+03 2.411733e+00 2.009478e+00 2.665077e+00
2.308588e+03 2.387183e+00 1.988930e+00 2.638150e+00
2.314768e+03 2.362941e+00 1.968641e+00 2.611558e+00
2.320948e+03 2.339002e+00 1.948608e+00 2.585296e+00
2.327129e+03 2.315363e+00 1.928826e+00 2.559359e+00
2.333309e+03 2.292018e+00 1.909292e+00 2.533742e+00
2.339490e+03 2.268963e+00 1.890002e+00 2.508440e+00
2.345670e+03 2.246194e+00 1.870953e+00 2.483450e+00
2.351851e+03 2.223707e+00 1.852141e+00 2.458766e+00
2.358031e+03 2.201497e+00 1.833562e+00 2.434385e+00
2.364211e+03 2.179561e+00 1.815213e+00 2.410301e+00
2.370392e+03 2.157895e+00 1.797091e+00 2.386510e+00
2.376572e+03 2.136494e+00 1.779192e+00 2.363008e+00
2.382753e+03 2.115355e+00 1.761513e+00 2.339792e+00
2.388933e+03 2.094474e+00 1.744051e+00 2.316856e+00
2.395113e+03 2.073847e+00 1.726803e+00 2.294197e+00
2.401294e+03 2.053471e+00 1.709766e+00 2.271811e+00
2.407474e+03 2.033342e+00 1.692936e+00 2.249695e+00
2.413655e+03 2.013456e+00 1.676310e+00 2.227843e+00
2.419835e+03 1.993810e+00 1.659887e+00 2.206253e+00
2.426016e+03 1.974400e+00 1.643661e+00 2.184920e+00
2.432196e+03 1.955224e+00 1.627632e+00 2.163842e+00
2.438376e+03 1.936278e+00 1.611796e+00 2.143014e+00
2.444557e+03 1.917558e+00 1.596150e+00 2.122433e+00
2.450737e+03 1.899061e+00 1.580692e+00 2.102096e+00
2.456918e+03 1.880785e+00 1.565418e+00 2.081999e+00
2.463098e+03 1.862725e+00 1.550327e+00 2.062139e+00
2.469278e+03 1.844880e+00 1.535416e+00 2.042512e+00
